cpu_consumption,memory_usage
50.173,128.223,
47.714,140.138,
43.996,162.134,
49.424,156.692,
40.550,206.746,
44.203,159.122,
40.556,165.456,
41.508,138.285,
44.099,159.756,
47.956,157.781,
43.796,200.337,
45.183,144.380,
47.102,173.687,
42.461,143.066,
45.258,155.917,
42.751,142.128,
45.808,170.021,
49.338,180.103,
48.099,167.682,
43.899,148.659,
45.812,169.893,
41.492,155.571,
47.103,177.886,
40.610,140.557,
47.218,203.086,
49.372,192.187,
49.469,179.312,
49.569,139.742,
42.238,204.295,
43.014,183.744,
