cpu_consumption,memory_usage
36.039,227.982,
33.613,287.547,
38.780,240.493,
41.577,174.838,
35.308,223.688,
37.396,274.765,
34.855,242.921,
35.215,236.577,
35.795,181.791,
40.382,192.841,
36.806,234.287,
40.291,193.048,
39.114,187.433,
35.112,247.017,
39.375,251.068,
39.859,183.682,
34.238,204.920,
36.201,201.078,
40.799,266.964,
38.529,245.514,
39.525,222.920,
36.173,190.896,
35.392,277.398,
41.066,281.856,
38.815,194.324,
41.177,213.628,
39.640,272.589,
40.338,271.494,
33.752,217.815,
40.324,263.331,
