cpu_consumption,memory_usage
37.704,118.886,
37.481,119.893,
34.540,125.413,
28.193,130.042,
28.170,131.294,
32.029,128.834,
32.185,129.858,
28.787,129.766,
29.598,125.362,
30.210,119.494,
36.039,122.407,
28.843,125.482,
35.228,127.689,
35.019,130.355,
37.498,118.975,
30.011,130.402,
28.750,126.905,
32.875,126.561,
34.523,127.193,
30.938,119.143,
32.796,127.491,
32.904,129.339,
33.166,131.283,
34.501,121.446,
32.980,123.633,
32.982,129.833,
30.037,126.082,
36.449,120.997,
32.219,130.533,
37.356,124.531,
