cpu_consumption,memory_usage
43.292,240.381,
38.230,183.581,
37.054,200.836,
39.290,175.027,
41.098,201.042,
41.788,188.694,
40.900,190.788,
40.320,220.395,
40.249,210.008,
37.191,238.853,
41.241,235.057,
38.651,193.094,
41.832,201.229,
38.260,225.568,
41.875,195.901,
42.433,198.832,
37.619,222.053,
37.831,203.845,
43.105,197.585,
42.907,194.913,
38.486,218.091,
40.711,222.820,
37.740,201.160,
41.446,182.042,
40.513,216.205,
38.176,196.879,
40.366,205.575,
37.190,191.547,
37.929,221.379,
43.153,211.721,
