cpu_consumption,memory_usage
25.621,137.003,
26.661,138.857,
22.957,135.427,
22.906,145.121,
23.464,147.592,
26.351,139.060,
25.192,142.271,
24.628,146.503,
25.783,147.128,
24.404,143.284,
25.822,139.317,
24.695,140.825,
26.361,145.627,
25.174,138.334,
25.902,140.746,
26.149,146.974,
23.177,141.460,
24.559,140.956,
25.475,142.403,
23.747,144.832,
23.215,141.527,
26.006,146.030,
26.623,145.183,
26.278,138.189,
26.538,140.022,
25.900,144.216,
23.851,137.244,
26.359,135.520,
24.040,142.828,
25.977,137.914,
