cpu_consumption,memory_usage
25.241,113.141,
25.013,110.161,
26.394,98.665,
29.204,108.514,
28.187,101.586,
27.550,100.980,
26.148,100.725,
27.779,100.843,
27.287,101.453,
28.606,101.438,
27.923,100.110,
27.957,99.471,
26.608,101.558,
25.108,99.305,
26.496,99.274,
25.670,100.727,
27.423,100.421,
25.148,100.006,
27.548,100.170,
25.422,98.799,
25.250,100.249,
27.637,100.020,
28.286,98.735,
26.469,99.496,
28.865,100.173,
27.343,100.236,
25.092,101.305,
29.144,99.210,
26.945,99.407,
27.789,101.311,
