treatment,cpu_consumption
1,2.290
1,2.213
1,2.560
1,2.393
1,2.623
1,2.377
1,2.617
1,2.547
1,2.710
1,2.383
1,1.897
1,1.910
1,1.790
1,1.880
1,1.900
1,1.813
1,1.933
1,1.910
1,1.927
1,1.923
1,1.913
1,1.613
1,1.873
1,2.023
1,1.903
1,1.693
1,1.827
1,1.910
1,1.748
1,2.067
2,1.813
2,1.860
2,1.993
2,1.883
2,2.080
2,2.063
2,2.127
2,2.033
2,2.060
2,2.027
2,2.610
2,2.853
2,2.893
2,2.623
2,2.493
2,2.787
2,2.617
2,2.890
2,2.534
2,2.383
2,1.923
2,1.843
2,1.907
2,2.100
2,2.220
2,1.880
2,2.127
2,1.943
2,1.847
2,2.157
