treatment,cpu_consumption
1,35.343
1,33.043
1,33.513
1,31.590
1,33.514
1,32.238
1,34.143
1,33.210
1,31.995
1,34.422
1,34.001
1,33.091
1,33.971
1,33.137
1,32.844
1,33.105
1,32.940
1,31.607
1,32.939
1,34.289
1,33.836
1,32.752
1,34.384
1,33.606
1,33.207
1,31.711
1,33.518
1,35.091
1,32.591
1,33.818
1,33.633
1,33.263
1,36.631
1,34.307
1,32.550
1,34.716
1,36.129
1,35.241
1,33.975
1,34.420
1,32.799
1,33.724
1,36.191
1,32.672
1,32.876
1,35.157
1,36.103
1,34.641
1,35.808
1,35.438
1,35.916
1,33.985
1,34.346
1,33.259
1,35.583
1,35.793
1,35.936
1,32.892
1,35.419
1,35.614
1,37.704
1,37.481
1,34.540
1,28.193
1,28.170
1,32.029
1,32.185
1,28.787
1,29.598
1,30.210
1,36.039
1,28.843
1,35.228
1,35.019
1,37.498
1,30.011
1,28.750
1,32.875
1,34.523
1,30.938
1,32.796
1,32.904
1,33.166
1,34.501
1,32.980
1,32.982
1,30.037
1,36.449
1,32.219
1,37.356
2,43.292
2,38.230
2,37.054
2,39.290
2,41.098
2,41.788
2,40.900
2,40.320
2,40.249
2,37.191
2,41.241
2,38.651
2,41.832
2,38.260
2,41.875
2,42.433
2,37.619
2,37.831
2,43.105
2,42.907
2,38.486
2,40.711
2,37.740
2,41.446
2,40.513
2,38.176
2,40.366
2,37.190
2,37.929
2,43.153
2,36.039
2,33.613
2,38.780
2,41.577
2,35.308
2,37.396
2,34.855
2,35.215
2,35.795
2,40.382
2,36.806
2,40.291
2,39.114
2,35.112
2,39.375
2,39.859
2,34.238
2,36.201
2,40.799
2,38.529
2,39.525
2,36.173
2,35.392
2,41.066
2,38.815
2,41.177
2,39.640
2,40.338
2,33.752
2,40.324
2,50.173
2,47.714
2,43.996
2,49.424
2,40.550
2,44.203
2,40.556
2,41.508
2,44.099
2,47.956
2,43.796
2,45.183
2,47.102
2,42.461
2,45.258
2,42.751
2,45.808
2,49.338
2,48.099
2,43.899
2,45.812
2,41.492
2,47.103
2,40.610
2,47.218
2,49.372
2,49.469
2,49.569
2,42.238
2,43.014
