treatment,memory_usage
1,93.740
1,92.526
1,93.773
1,94.215
1,92.760
1,94.058
1,93.348
1,92.965
1,94.059
1,93.014
1,92.689
1,94.016
1,93.057
1,93.704
1,93.057
1,93.701
1,93.852
1,92.824
1,93.457
1,92.661
1,93.766
1,93.852
1,93.663
1,92.834
1,94.084
1,93.060
1,94.157
1,93.276
1,93.946
1,92.861
1,88.221
1,86.955
1,93.981
1,92.224
1,86.956
1,92.040
1,89.022
1,91.041
1,87.098
1,87.605
1,90.562
1,93.036
1,90.962
1,89.579
1,87.277
1,93.733
1,89.652
1,88.066
1,87.929
1,90.673
1,89.052
1,88.373
1,93.037
1,91.190
1,87.574
1,87.232
1,89.876
1,92.733
1,92.837
1,90.692
1,118.886
1,119.893
1,125.413
1,130.042
1,131.294
1,128.834
1,129.858
1,129.766
1,125.362
1,119.494
1,122.407
1,125.482
1,127.689
1,130.355
1,118.975
1,130.402
1,126.905
1,126.561
1,127.193
1,119.143
1,127.491
1,129.339
1,131.283
1,121.446
1,123.633
1,129.833
1,126.082
1,120.997
1,130.533
1,124.531
2,240.381
2,183.581
2,200.836
2,175.027
2,201.042
2,188.694
2,190.788
2,220.395
2,210.008
2,238.853
2,235.057
2,193.094
2,201.229
2,225.568
2,195.901
2,198.832
2,222.053
2,203.845
2,197.585
2,194.913
2,218.091
2,222.820
2,201.160
2,182.042
2,216.205
2,196.879
2,205.575
2,191.547
2,221.379
2,211.721
2,227.982
2,287.547
2,240.493
2,174.838
2,223.688
2,274.765
2,242.921
2,236.577
2,181.791
2,192.841
2,234.287
2,193.048
2,187.433
2,247.017
2,251.068
2,183.682
2,204.920
2,201.078
2,266.964
2,245.514
2,222.920
2,190.896
2,277.398
2,281.856
2,194.324
2,213.628
2,272.589
2,271.494
2,217.815
2,263.331
2,128.223
2,140.138
2,162.134
2,156.692
2,206.746
2,159.122
2,165.456
2,138.285
2,159.756
2,157.781
2,200.337
2,144.380
2,173.687
2,143.066
2,155.917
2,142.128
2,170.021
2,180.103
2,167.682
2,148.659
2,169.893
2,155.571
2,177.886
2,140.557
2,203.086
2,192.187
2,179.312
2,139.742
2,204.295
2,183.744
