treatment,cpu_consumption
1,1.897
1,1.910
1,1.790
1,1.880
1,1.900
1,1.813
1,1.933
1,1.910
1,1.927
1,1.923
1,1.863
1,1.883
1,1.927
1,1.875
1,1.904
1,1.930
1,1.908
1,1.832
1,1.893
1,1.884
1,1.901
1,1.867
1,1.829
1,1.915
1,1.851
1,1.807
1,1.894
1,1.860
1,1.857
1,1.801
1,2.290
1,2.213
1,2.560
1,2.393
1,2.623
1,2.377
1,2.617
1,2.547
1,2.710
1,2.383
1,2.313
1,2.313
1,2.033
1,2.247
1,2.273
1,2.501
1,2.310
1,2.295
1,2.304
1,2.064
1,2.354
1,2.483
1,2.186
1,2.337
1,2.331
1,2.398
1,2.103
1,2.532
1,2.251
1,2.604
1,1.913
1,1.613
1,1.873
1,2.023
1,1.903
1,1.693
1,1.827
1,1.910
1,1.748
1,2.067
1,1.690
1,1.677
1,1.700
1,1.870
1,1.723
1,1.725
1,2.013
1,1.704
1,1.655
1,1.722
1,1.737
1,1.675
1,1.633
1,1.858
1,1.914
1,1.641
1,1.634
1,1.751
1,1.942
1,1.725
2,1.813
2,1.860
2,1.993
2,1.883
2,2.080
2,2.063
2,2.127
2,2.033
2,2.060
2,2.027
2,1.999
2,1.894
2,1.877
2,1.993
2,2.034
2,1.899
2,2.090
2,2.007
2,1.996
2,2.042
2,1.873
2,2.101
2,2.076
2,1.859
2,1.866
2,2.119
2,2.016
2,1.843
2,2.031
2,1.851
2,1.923
2,1.843
2,1.907
2,2.100
2,2.220
2,1.880
2,2.127
2,1.943
2,1.847
2,2.157
2,2.059
2,1.913
2,2.064
2,2.007
2,2.016
2,1.999
2,1.914
2,2.101
2,2.009
2,1.890
2,2.138
2,2.097
2,1.934
2,2.068
2,2.131
2,2.007
2,2.197
2,2.077
2,2.126
2,1.893
2,2.610
2,2.853
2,2.893
2,2.623
2,2.493
2,2.787
2,2.617
2,2.890
2,2.534
2,2.383
2,2.310
2,2.583
2,2.540
2,2.874
2,2.659
2,2.689
2,2.803
2,2.398
2,2.501
2,2.484
2,2.480
2,2.715
2,2.863
2,2.459
2,2.727
2,2.472
2,2.647
2,2.810
2,2.478
2,2.316
