treatment,memory_usage
1,46.236
1,46.622
1,46.573
1,46.529
1,46.262
1,46.150
1,46.354
1,46.567
1,46.353
1,46.027
1,46.732
1,46.349
1,46.560
1,46.050
1,46.149
1,46.329
1,46.292
1,46.410
1,46.257
1,46.727
1,46.423
1,46.046
1,46.285
1,46.583
1,46.087
1,46.225
1,46.568
1,46.411
1,46.453
1,46.180
1,39.912
1,40.155
1,40.020
1,39.970
1,39.465
1,39.758
1,39.658
1,39.900
1,40.441
1,39.823
1,40.153
1,40.132
1,39.960
1,39.727
1,39.989
1,39.771
1,39.597
1,39.935
1,40.406
1,39.834
1,40.009
1,40.326
1,40.231
1,40.281
1,40.411
1,39.482
1,40.108
1,40.140
1,40.381
1,40.027
1,40.847
1,40.975
1,40.294
1,40.324
1,40.414
1,40.329
1,40.377
1,40.261
1,40.423
1,40.520
1,40.600
1,40.231
1,40.413
1,40.483
1,40.607
1,40.405
1,40.601
1,40.468
1,40.307
1,40.768
1,40.350
1,40.239
1,40.247
1,40.970
1,40.366
1,40.316
1,40.658
1,40.855
1,40.247
1,40.488
2,46.835
2,46.828
2,46.712
2,46.793
2,46.123
2,46.697
2,47.298
2,46.512
2,47.406
2,46.335
2,46.415
2,46.562
2,46.294
2,47.384
2,46.368
2,46.260
2,47.037
2,47.385
2,47.209
2,46.151
2,46.332
2,47.009
2,47.217
2,47.315
2,47.182
2,46.983
2,46.421
2,46.584
2,46.293
2,47.106
2,40.864
2,40.572
2,40.368
2,40.860
2,41.113
2,40.947
2,40.833
2,40.422
2,40.180
2,40.961
2,40.424
2,40.822
2,40.814
2,41.087
2,40.319
2,40.183
2,40.425
2,40.332
2,40.804
2,40.804
2,40.997
2,40.991
2,40.578
2,40.791
2,40.487
2,40.410
2,41.016
2,40.651
2,41.039
2,40.939
2,40.365
2,40.552
2,40.757
2,40.124
2,40.340
2,40.450
2,40.499
2,40.401
2,40.521
2,40.894
2,40.589
2,40.437
2,40.645
2,40.520
2,40.843
2,40.781
2,40.580
2,40.208
2,40.730
2,40.623
2,40.579
2,40.737
2,40.476
2,40.357
2,40.595
2,40.423
2,40.871
2,40.248
2,40.445
2,40.639
