treatment,cpu_consumption
1,21.539
1,19.933
1,21.273
1,20.529
1,18.320
1,20.281
1,20.087
1,19.519
1,20.883
1,21.327
1,19.160
1,19.998
1,18.939
1,20.899
1,19.302
1,20.391
1,20.869
1,20.526
1,20.599
1,20.989
1,19.081
1,20.697
1,20.769
1,19.662
1,18.809
1,19.003
1,20.006
1,19.223
1,19.571
1,19.835
1,18.890
1,21.447
1,22.303
1,25.040
1,22.026
1,23.517
1,21.879
1,23.744
1,19.329
1,24.051
1,24.339
1,22.951
1,19.201
1,21.486
1,21.108
1,23.761
1,21.340
1,24.759
1,24.681
1,19.726
1,19.895
1,23.037
1,21.729
1,19.000
1,21.180
1,22.826
1,19.433
1,19.616
1,23.231
1,22.247
1,21.907
1,17.767
1,18.544
1,18.730
1,16.707
1,19.287
1,18.649
1,17.924
1,17.116
1,20.671
1,16.874
1,20.030
1,21.739
1,21.524
1,18.900
1,19.035
1,17.531
1,16.995
1,21.198
1,17.673
1,19.341
1,20.703
1,19.941
1,21.712
1,18.042
1,17.807
1,17.742
1,21.062
1,20.332
1,19.205
2,25.241
2,25.013
2,26.394
2,29.204
2,28.187
2,27.550
2,26.148
2,27.779
2,27.287
2,28.606
2,27.923
2,27.957
2,26.608
2,25.108
2,26.496
2,25.670
2,27.423
2,25.148
2,27.548
2,25.422
2,25.250
2,27.637
2,28.286
2,26.469
2,28.865
2,27.343
2,25.092
2,29.144
2,26.945
2,27.789
2,29.179
2,27.711
2,31.950
2,31.237
2,31.650
2,29.964
2,28.564
2,27.978
2,28.691
2,29.500
2,31.943
2,29.029
2,27.949
2,27.751
2,31.153
2,31.864
2,31.252
2,28.723
2,28.900
2,28.230
2,28.723
2,31.390
2,31.497
2,28.017
2,31.088
2,30.122
2,30.172
2,31.799
2,28.633
2,28.154
2,25.621
2,26.661
2,22.957
2,22.906
2,23.464
2,26.351
2,25.192
2,24.628
2,25.783
2,24.404
2,25.822
2,24.695
2,26.361
2,25.174
2,25.902
2,26.149
2,23.177
2,24.559
2,25.475
2,23.747
2,23.215
2,26.006
2,26.623
2,26.278
2,26.538
2,25.900
2,23.851
2,26.359
2,24.040
2,25.977
