treatment,memory_usage
1,39.912
1,40.155
1,40.020
1,39.970
1,39.465
1,39.758
1,39.658
1,39.900
1,40.441
1,39.823
1,46.236
1,46.622
1,46.573
1,46.529
1,46.262
1,46.150
1,46.354
1,46.567
1,46.353
1,46.027
1,40.847
1,40.975
1,40.294
1,40.324
1,40.414
1,40.329
1,40.377
1,40.261
1,40.423
1,40.520
2,46.835
2,46.828
2,46.712
2,46.793
2,46.123
2,46.697
2,47.298
2,46.512
2,47.406
2,46.335
2,40.365
2,40.552
2,40.757
2,40.124
2,40.340
2,40.450
2,40.499
2,40.401
2,40.521
2,40.894
2,40.864
2,40.572
2,40.368
2,40.860
2,41.113
2,40.947
2,40.833
2,40.422
2,40.180
2,40.961
